username,white_wins,black_wins
taranga,34,38
ducksandcats,14,29
vladimir-kramnik-1,22,28
chesscarl,18,27
docboss,1,25
king5891,20,22
smilsydov,15,21
doraemon61,18,20
artem555,14,18
cape217,2,18
dpoty,8,18
laode_syahril,16,18
saviter,14,18
sjeiben,9,18
smartduckduckcow,3,18
amanan,9,17
s-a,12,17
unrim,16,17
youralterego,14,17
lbringer,14,16
pavelsps,13,16
rodrigowski19,12,16
bigbrother101,11,15
divu7,8,15
jakubsagitario17,8,15
juncinmestrella,11,15
superhero098,6,15
thatguythatistr,11,15
aran09,4,14
chesskhovtsev,13,14
mahmoud_safyan,11,14
mazpharaoh,11,14
moistvonlipwig,4,14
bear789,12,13
cro_chess_fan,10,13
dimitris22,10,13
dkattir,9,13
dumbluck,0,13
jdbarger,8,13
jeffersondarcy1,7,13
loukas435,9,13
piley159,8,13
basakcesur,5,12
crixin,7,12
fazouane,6,12
first-time-1,10,12
fischerdipper,9,12
karsh,9,12
lolmens,8,12
nakuradesu,3,12
networkchess2,11,12
rhysmc123,8,12
saitama_opm,8,12
aboud,10,11
anastasia2009,8,11
blazingdragon,7,11
cdvh,6,11
chessmageddon,5,11
destroyer999,6,11
guru200773,9,11
mohammad_baharan,3,11
rb52,10,11
rembrandt16,6,11
sazed,6,11
thehutchtouch,9,11
webkin,8,11
zen3000,9,11
amir2002zzz,6,10
aqwert,8,10
bekzodjon,4,10
hick4u1219,0,10
isachess,8,10
jayaram,5,10
mmichael,8,10
romanar2006,8,10
rps_1899,7,10
sharkey101,8,10
tahastanly,4,10
darobertson,5,9
e6d4,7,9
eche777,4,9
erdugliano71,6,9
glzrchess,6,9
hasan_al-banna,6,9
mburch1974,3,9
mrtx,8,9
nicholas9999,3,9
redwood,6,9
runcrazex,7,9
steelviper,6,9
thegreatman06,8,9
tony995,5,9
viktorr,5,9
yht,2,9
aidenleahycrooks,1,8
andreas00,2,8
az_99,6,8
behrooz36tehran,3,8
bishopson,6,8
bpgbcg,6,8
chicago_chess,2,8
davidc87,7,8
fandm-lancaster,4,8
hamidreza,5,8
jovan_kingofkings,6,8
kyanh,5,8
peterqiu,7,8
reubpear,3,8
ridics,6,8
roman12342005,4,8
sassou,6,8
shadow1031,5,8
shmulke,3,8
theshelton,6,8
trrrrillionaire,6,8
wiggleitjiggleit,4,8
adriansywu,6,7
apfelschalen,6,7
barrow-wight,3,7
berder,2,7
cameronl86,1,7
danny77,1,7
dfdghgh,6,7
elcidestaron,3,7
fjachess,2,7
justanotherguy321,6,7
kaushik007,2,7
kerboodle,5,7
kyzuro,6,7
lcover,5,7
lichessfiend,6,7
lionnessebim1,5,7
mcdaman,6,7
mikiduda,5,7
motion,6,7
pageprotector,4,7
sagansaxo,3,7
seciyeli,0,7
shivangithegenius,4,7
vzg100,6,7
wojand,6,7
woodham,5,7
youredeadmeat,6,7
b2g4gotu,5,6
bernabe,2,6
carlosamadorsanchez,3,6
chez91,5,6
d_war,4,6
eideral,5,6
futuro_gm22,5,6
jdimojc,2,6
lubo10,3,6
manrod420,3,6
mitkonikov,3,6
mrphaseolusvulgaris,1,6
potatietots,4,6
rh-sah,5,6
riverside_monkey,2,6
schneetatze,2,6
theanonymousone,3,6
tidalbutt,5,6
vanirof,4,6
victorbrz,1,6
wellsaid,3,6
yotastrejos,5,6
aeilnrst,4,5
antons,4,5
babblingboy,4,5
bobbyevans,3,5
camelclutcher,2,5
chess_king3,4,5
doom12384,3,5
ecstasydrug,2,5
erikweisz,4,5
fistiko,2,5
hannibal66,1,5
hishamtheman,2,5
icewolf4,2,5
jlee96,3,5
jyotirmoy1997,4,5
kingcrazy99,3,5
majstor2650,2,5
mathhopper,3,5
mika2012,1,5
mistershy,4,5
raman1,1,5
redevening,1,5
schlendryan,1,5
smchess999,3,5
solidchess_hehe,2,5
vanitasmarilyn,3,5
wqf7,1,5
ytdvvc,2,5
-l-_jedi_knight_-l-,3,4
aleksander10032007,3,4
aliamini,3,4
amazingfoxtrot,0,4
andreas636,0,4
aragon26,3,4
arishikesh,2,4
armourbuddy,0,4
arnomass,0,4
bignoob1409,3,4
cmcookiemonster,0,4
cracking12345,2,4
crusova_35,1,4
dahabi,1,4
danko_25,1,4
drunkenfluteplayer,3,4
ed84,1,4
engcondor,1,4
gaymanipulation,2,4
hackov,1,4
hknight_chess,0,4
ianremsen,3,4
inuit_nunaat,0,4
jpadron19,1,4
jrandmaster,2,4
justinlew99,1,4
jutton1,3,4
kellyclarkson,1,4
lcf64,0,4
lextop,3,4
lynnpv,3,4
mahmoud-0,1,4
naoufel,1,4
nitsua49,1,4
odxaan,0,4
potshot,3,4
ppm,2,4
quantummequanic,3,4
ramin6009,0,4
razzzzy,2,4
roman_pham,0,4
shaeila89,0,4
sjamal99,0,4
sparkyman,2,4
tajberdi,1,4
thepawnsofwrath,3,4
tonyhuang19,2,4
v1chess,3,4
victress,3,4
vikrant_dalvi,0,4
whfo,0,4
yuredouglas,2,4
zazz4,3,4
a_th-19,0,3
ahmadirr,0,3
ajji58,1,3
alakard,2,3
alkun57,0,3
alvarovix,1,3
amo_0,2,3
amsou,1,3
antitexnik,0,3
artesano08,0,3
atarasenko,1,3
bischopscup,1,3
boberarena,1,3
brahim333,0,3
cadaca1,1,3
cantaloop,0,3
chess-stat,1,3
chessderek,2,3
chesshaar,0,3
